,Year,Mon,tmax,tmin
3828,1981,7,29.4,23.6
3829,1981,7,30.2,23.6
3830,1981,7,30.6,24.1
3831,1981,7,32.2,25.3
3832,1981,7,30.8,24.8
3833,1981,7,31.1,24.2
3834,1981,7,31.4,21.4
3835,1981,8,29.2,22.7
3836,1981,8,28.8,24.3
3837,1981,8,31.4,22.8
3838,1981,8,27.5,21.8
3839,1981,8,25.2,19.8
3840,1981,8,25.6,19.6
3841,1981,8,29.6,21.2
3842,1981,8,31.4,22.8
3843,1981,8,32.0,24.3
3844,1981,8,27.2,22.4
3845,1981,8,30.6,22.7
3846,1981,8,30.1,21.5
3847,1981,8,27.4,21.4
3848,1981,8,27.5,20.7
3849,1981,8,27.6,21.1
3850,1981,8,27.8,22.5
3851,1981,8,29.8,24.3
3852,1981,8,29.3,22.7
3853,1981,8,25.2,21.9
3854,1981,8,28.5,23.0
3855,1981,8,30.6,22.0
3856,1981,8,31.6,21.6
3857,1981,8,30.7,19.7
3858,1981,8,29.4,20.9
3859,1981,8,28.4,21.7
3860,1981,8,28.2,22.5
3861,1981,8,30.3,19.5
3862,1981,8,27.5,19.7
3863,1981,8,29.2,22.5
3864,1981,8,30.0,25.2
3865,1981,8,28.3,25.0
3866,1981,9,26.9,23.1
3867,1981,9,27.4,22.6
3868,1981,9,27.2,22.0
3869,1981,9,26.8,19.1
3870,1981,9,28.1,18.6
3871,1981,9,26.1,18.3
3872,1981,9,26.0,18.0
3873,1981,9,26.1,18.0
3874,1981,9,24.9,18.3
3875,1981,9,24.8,18.0
3876,1981,9,24.3,17.4
3877,1981,9,25.2,15.5
3878,1981,9,24.9,14.5
3879,1981,9,24.8,12.7
3880,1981,9,24.6,14.1
3881,1981,9,24.9,13.0
3882,1981,9,25.3,13.9
3883,1981,9,22.1,16.0
3884,1981,9,25.9,14.5
3885,1981,9,25.2,16.4
3886,1981,9,25.8,17.4
3887,1981,9,26.0,17.4
3888,1981,9,25.5,17.8
3889,1981,9,25.6,20.9
3890,1981,9,24.2,19.0
3891,1981,9,27.2,17.4
3892,1981,9,28.5,16.2
3893,1981,9,22.9,17.4
3894,1981,9,21.0,16.2
3895,1981,9,23.5,14.9
3896,1981,10,24.6,16.1
3897,1981,10,23.8,15.5
3898,1981,10,21.9,13.9
3899,1981,10,21.0,16.5
3900,1981,10,21.7,15.9
3901,1981,10,19.7,13.9
3902,1981,10,18.0,12.8
3903,1981,10,19.1,15.9
3904,1981,10,17.8,12.9
3905,1981,10,20.5,10.9
3906,1981,10,20.8,9.4
3907,1981,10,20.9,11.9
3908,1981,10,19.3,12.7
3909,1981,10,18.5,10.4
3910,1981,10,18.7,9.7
3911,1981,10,20.3,10.1
3912,1981,10,20.1,11.1
3913,1981,10,22.0,12.9
3914,1981,10,19.4,16.0
3915,1981,10,19.5,14.4
3916,1981,10,21.8,14.3
3917,1981,10,19.9,8.3
3918,1981,10,10.5,5.4
3919,1981,10,16.3,8.3
3920,1981,10,15.3,5.4
3921,1981,10,17.7,4.7
3922,1981,10,18.1,6.4
3923,1981,10,15.6,8.7
3924,1981,10,17.1,7.7
3925,1981,10,16.8,5.6
3926,1981,10,20.2,8.9
3927,1981,11,15.9,6.4
3928,1981,11,15.7,10.9
3929,1981,11,16.6,7.4
3930,1981,11,11.5,6.2
3931,1981,11,8.0,4.4
3932,1981,11,10.3,5.6
3933,1981,11,5.6,1.2
3934,1981,11,6.2,-1.8
3935,1981,11,9.3,-1.5
3936,1981,11,10.1,-0.4
3937,1981,11,13.7,4.9
3938,1981,11,13.6,1.9
3939,1981,11,16.0,4.5
3940,1981,11,15.2,3.4
3941,1981,11,15.1,3.0
3942,1981,11,14.3,5.4
3943,1981,11,8.6,2.7
3944,1981,11,11.9,1.1
3945,1981,11,13.3,0.3
3946,1981,11,14.2,5.4
3947,1981,11,10.5,3.0
3948,1981,11,10.5,2.6
3949,1981,11,11.1,6.4
3950,1981,11,11.5,3.1
3951,1981,11,9.5,4.6
3952,1981,11,15.9,6.9
3953,1981,11,9.9,2.2
